label_number,cost,epsilon,gamma,pearson,spearman
CD8.T.cells,384,0.05,0.001,0.9900451281041978,0.8682575482361796
CD8.T.cells,512,0.05,0.001,0.9900451281041978,0.8682575482361796
CD8.T.cells,768,0.05,0.001,0.9900451281041978,0.8682575482361796
CD8.T.cells,256,5e-5,0.001,0.9903175437205453,0.8688336771570556
CD8.T.cells,384,5e-5,0.001,0.9903175437205453,0.8688336771570556
CD8.T.cells,512,5e-5,0.001,0.9903175437205453,0.8688336771570556
CD8.T.cells,768,5e-5,0.001,0.9903175437205453,0.8688336771570556
CD8.T.cells,256,5e-4,0.001,0.9911440456090789,0.8703188539729544
CD8.T.cells,384,5e-4,0.001,0.9911440456090789,0.8703188539729544
CD8.T.cells,512,5e-4,0.001,0.9911440456090789,0.8703188539729544
CD8.T.cells,768,5e-4,0.001,0.9911440456090789,0.8703188539729544
CD8.T.cells,256,5e-6,0.001,0.9901545175079088,0.8684708775663181
CD8.T.cells,384,5e-6,0.001,0.9901545175079088,0.8684708775663181
CD8.T.cells,512,5e-6,0.001,0.9901545175079088,0.8684708775663181
CD8.T.cells,768,5e-6,0.001,0.9901545175079088,0.8684708775663181
monocytic.lineage,256,0.005,1e-8,0.9803607854269679,0.8573237063386264
monocytic.lineage,384,0.005,1e-8,0.9842556285486442,0.8654867089519921
monocytic.lineage,512,0.005,1e-8,0.9853704635962961,0.8677071965413171
monocytic.lineage,768,0.005,1e-8,0.9866435177061723,0.8699164096060914
monocytic.lineage,256,0.05,1e-8,0.9739081334974168,0.8439289507400514
monocytic.lineage,384,0.05,1e-8,0.9761258442177199,0.8482165590282311
monocytic.lineage,512,0.05,1e-8,0.9781262478686983,0.8519511552228601
monocytic.lineage,768,0.05,1e-8,0.9800852223094402,0.8556092781187176
monocytic.lineage,256,5e-5,1e-8,0.9804243594732434,0.8575228384589294
monocytic.lineage,384,5e-5,1e-8,0.9844451310017368,0.865932486307302
monocytic.lineage,512,5e-5,1e-8,0.9855819849945655,0.8683278090829575
monocytic.lineage,768,5e-5,1e-8,0.9868006086286769,0.8701181902389663
monocytic.lineage,256,5e-4,1e-8,0.9803860981523698,0.8573689311918387
